OneView IEC 61400-25-2 Edition 2,NODE,TAGName,Description,SI Unit,Type,DataType,CollectorType
WTRM.GbxOilPmpTms,WTRM.,GbxOilPmpTms,Time the Gearbox oil pump has been activated,seconds,Total Counter,Long,Live Value
WTRM.GbxOilPmpTms_10m_End,WTRM.,GbxOilPmpTms_10m_End,Time the Gearbox oil pump has been activated,seconds,Total Counter,Long,10 minute tag
WTRM.GbxOilPres,WTRM.,GbxOilPres,Gearbox oil pressure,bar,Live Value,Double,Live Value
WTRM.GbxOilPres_10m_Avg,WTRM.,GbxOilPres_10m_Avg,Gearbox oil pressure,bar,Average,Double,10 minute tag
WTRM.GbxOilPres_10m_Max,WTRM.,GbxOilPres_10m_Max,Gearbox oil pressure,bar,Maximum,Double,10 minute tag
WTRM.GbxOilPres_10m_Min,WTRM.,GbxOilPres_10m_Min,Gearbox oil pressure,bar,Minimum,Double,10 minute tag
WTRM.GbxOilPres_10m_Std,WTRM.,GbxOilPres_10m_Std,Gearbox oil pressure,bar,Standard Deviation,Double,10 minute tag
WTRM.GbxOilPres1,WTRM.,GbxOilPres1,Gearbox oil pressure at pump 1,bar,Live Value,Double,Live Value
WTRM.GbxOilPres1_10m_Avg,WTRM.,GbxOilPres1_10m_Avg,Gearbox oil pressure at pump 1,bar,Average,Double,10 minute tag
WTRM.GbxOilPres1_10m_Max,WTRM.,GbxOilPres1_10m_Max,Gearbox oil pressure at pump 1,bar,Maximum,Double,10 minute tag
WTRM.GbxOilPres1_10m_Min,WTRM.,GbxOilPres1_10m_Min,Gearbox oil pressure at pump 1,bar,Minimum,Double,10 minute tag
WTRM.GbxOilPres1_10m_Std,WTRM.,GbxOilPres1_10m_Std,Gearbox oil pressure at pump 1,bar,Standard Deviation,Double,10 minute tag
WTRM.GbxOilTmp_10m_Max,WTRM.,GbxOilTmp_10m_Max,Gearbox oil temperature,�C,Maximum,Double,10 minute tag
WTRM.GbxOilTmp_10m_Min,WTRM.,GbxOilTmp_10m_Min,Gearbox oil temperature,�C,Minimum,Double,10 minute tag
WTRM.GbxOilTmp_10m_Std,WTRM.,GbxOilTmp_10m_Std,Gearbox oil temperature,�C,Standard Deviation,Double,10 minute tag
WTRM.GbxTmp,WTRM.,GbxTmp,Gearbox temperature,�C,Live Value,Double,Live Value
WTRM.GbxTmp_10m_Avg,WTRM.,GbxTmp_10m_Avg,Gearbox temperature,�C,Average,Double,10 minute tag
WTRM.GbxTmp_10m_Max,WTRM.,GbxTmp_10m_Max,Gearbox temperature,�C,Maximum,Double,10 minute tag
WTRM.GbxTmp_10m_Min,WTRM.,GbxTmp_10m_Min,Gearbox temperature,�C,Minimum,Double,10 minute tag
WTRM.GbxTmp_10m_Std,WTRM.,GbxTmp_10m_Std,Gearbox temperature,�C,Standard Deviation,Double,10 minute tag
WTRM.GbxVbr,WTRM.,GbxVbr,Measured gearbox vibration of gearbox,,,Double,
WTRM.GbxWtrPmpCnt_10m_End,WTRM.,GbxWtrPmpCnt_10m_End,Number of activations of Gearbox  cooling water pump,Count,Total Counter,Long,10 minute tag
WTRM.GbxWtrPmpTms_10m_End,WTRM.,GbxWtrPmpTms_10m_End,Time the Gearbox cooling water pump has been activated,seconds,Total Counter,Long,10 minute tag
WTRM.GsLev,WTRM.,GsLev,Grease level in the main bearing lubrication tank,percent,Live Value,Double,Live Value
WTRM.GsLev_10m_Avg,WTRM.,GsLev_10m_Avg,Grease level in the main bearing lubrication tank,percent,Average,Double,10 minute tag
WTRM.GsLev_10m_Max,WTRM.,GsLev_10m_Max,Grease level in the main bearing lubrication tank,percent,Maximum,Double,10 minute tag
WTRM.GsLev_10m_Min,WTRM.,GsLev_10m_Min,Grease level in the main bearing lubrication tank,percent,Minimum,Double,10 minute tag
WTRM.GsLev_10m_Std,WTRM.,GsLev_10m_Std,Grease level in the main bearing lubrication tank,percent,Standard Deviation,Double,10 minute tag
WTRM.HtSt,WTRM.,HtSt,Status of heating system,Enum,Live Value,Long,Live Value
WTRM.InlFil,WTRM.,InlFil,Inline filter contamination,,Live Value,Double,Live Value
WTRM.InlFil_10m_Avg,WTRM.,InlFil_10m_Avg,Inline filter contamination,,Average,Double,10 minute tag
WTRM.InlFil_10m_Max,WTRM.,InlFil_10m_Max,Inline filter contamination,,Maximum,Double,10 minute tag
WTRM.InlFil_10m_Min,WTRM.,InlFil_10m_Min,Inline filter contamination,,Minimum,Double,10 minute tag
WTRM.InlFil_10m_Std,WTRM.,InlFil_10m_Std,Inline filter contamination,,Standard Deviation,Double,10 minute tag
WTRM.InlFilSt,WTRM.,InlFilSt,Status of inline filter contamination,Enum,Live Value,Long,Live Value
WTRM.LuSt,WTRM.,LuSt,Status of gearbox lubrication system,Enum,Live Value,Long,Live Value
WTRM.MainBrgPmpCnt_10m_End,WTRM.,MainBrgPmpCnt_10m_End,Number of activations of the main bearing  pump,Count,Total Counter,Long,10 minute tag
WTRM.MainBrgPmpTms_10m_End,WTRM.,MainBrgPmpTms_10m_End,Time the main bearing  pump has been activated,seconds,Total Counter,Long,10 minute tag
WTRM.MainBrgTmp,WTRM.,MainBrgTmp,"Main bearing temperature, i.e. the bearing carrying the rotor",�C,Live Value,Double,Live Value
WTRM.MainBrgTmp_10m_Avg,WTRM.,MainBrgTmp_10m_Avg,"Main bearing temperature, i.e. the bearing carrying the rotor",�C,Average,Double,10 minute tag
WTRM.MainBrgTmp_10m_Max,WTRM.,MainBrgTmp_10m_Max,"Main bearing temperature, i.e. the bearing carrying the rotor",�C,Maximum,Double,10 minute tag
WTRM.MainBrgTmp_10m_Min,WTRM.,MainBrgTmp_10m_Min,"Main bearing temperature, i.e. the bearing carrying the rotor",�C,Minimum,Double,10 minute tag
WTRM.MainBrgTmp_10m_Std,WTRM.,MainBrgTmp_10m_Std,"Main bearing temperature, i.e. the bearing carrying the rotor",�C,Standard Deviation,Double,10 minute tag
WTRM.MainBrgTmp1,WTRM.,MainBrgTmp1,"Main bearing temperature, i.e. the bearing carrying the rotor, in rotor end",�C,Live Value,Double,Live Value
WTRM.MainBrgTmp1_10m_Avg,WTRM.,MainBrgTmp1_10m_Avg,"Main bearing temperature, i.e. the bearing carrying the rotor, in rotor end",�C,Average,Double,10 minute tag
WTRM.MainBrgTmp1_10m_Max,WTRM.,MainBrgTmp1_10m_Max,"Main bearing temperature, i.e. the bearing carrying the rotor, in rotor end",�C,Maximum,Double,10 minute tag
WTRM.MainBrgTmp1_10m_Min,WTRM.,MainBrgTmp1_10m_Min,"Main bearing temperature, i.e. the bearing carrying the rotor, in rotor end",�C,Minimum,Double,10 minute tag
WTRM.MainBrgTmp1_10m_Std,WTRM.,MainBrgTmp1_10m_Std,"Main bearing temperature, i.e. the bearing carrying the rotor, in rotor end",�C,Standard Deviation,Double,10 minute tag
WTRM.MainBrgTmp2,WTRM.,MainBrgTmp2,"Main bearing temperature, i.e. the bearing carrying the rotor, in non rotor end",�C,Live Value,Double,Live Value
WTRM.MainBrgTmp2_10m_Avg,WTRM.,MainBrgTmp2_10m_Avg,"Main bearing temperature, i.e. the bearing carrying the rotor, in non rotor end",�C,Average,Double,10 minute tag
WTRM.MainBrgTmp2_10m_Max,WTRM.,MainBrgTmp2_10m_Max,"Main bearing temperature, i.e. the bearing carrying the rotor, in non rotor end",�C,Maximum,Double,10 minute tag
WTRM.MainBrgTmp2_10m_Min,WTRM.,MainBrgTmp2_10m_Min,"Main bearing temperature, i.e. the bearing carrying the rotor, in non rotor end",�C,Minimum,Double,10 minute tag
WTRM.MainBrgTmp2_10m_Std,WTRM.,MainBrgTmp2_10m_Std,"Main bearing temperature, i.e. the bearing carrying the rotor, in non rotor end",�C,Standard Deviation,Double,10 minute tag
WTRM.OfFil,WTRM.,OfFil,Offline filter contamination,,,Double,
WTRM.OfFilPmpCnt_10m_End,WTRM.,OfFilPmpCnt_10m_End,Number of activations of the off-line filter pump,Count,Total Counter,Long,10 minute tag
WTRM.OfFilPmpTms_10m_End,WTRM.,OfFilPmpTms_10m_End,Time off-line filter pump has been activated,seconds,Total Counter,Long,10 minute tag
WTRM.OfFilSt,WTRM.,OfFilSt,Status of offline filter contamination,Enum,Live Value,Long,Live Value
WTRM.OilLevSt,WTRM.,OilLevSt,Status of oil level in gearbox sump,Enum,Live Value,Long,Live Value
WTRM.ShftBrgTmp,WTRM.,ShftBrgTmp,Measured temperature of shaft bearing,C°,,Double,
WTRM.ShftBrkPmpCnt,WTRM.,ShftBrkPmpCnt,Number of activations of the shaft brake pump,Count,Total Counter,Long,Live Value
WTRM.ShftBrkPmpCnt_10m_End,WTRM.,ShftBrkPmpCnt_10m_End,Number of activations of the shaft brake pump,Count,Total Counter,Long,10 minute tag
WTRM.ShftBrkPmpTms,WTRM.,ShftBrkPmpTms,Time the shaft brake pump has been activated,seconds,Total Counter,Long,Live Value
WTRM.ShftBrkPmpTms_10m_End,WTRM.,ShftBrkPmpTms_10m_End,Time the shaft brake pump has been activated,seconds,Total Counter,Long,10 minute tag
WTRM.ShftBrkTmp,WTRM.,ShftBrkTmp,Generator Shaft brake temperature,�C,Live Value,Double,Live Value
WTRM.ShftBrkTmp_10m_Avg,WTRM.,ShftBrkTmp_10m_Avg,Generator Shaft brake temperature,�C,Average,Double,10 minute tag
WTRM.ShftBrkTmp_10m_Max,WTRM.,ShftBrkTmp_10m_Max,Generator Shaft brake temperature,�C,Maximum,Double,10 minute tag
WTRM.ShftBrkTmp_10m_Min,WTRM.,ShftBrkTmp_10m_Min,Generator Shaft brake temperature,�C,Minimum,Double,10 minute tag
WTRM.ShftBrkTmp_10m_Std,WTRM.,ShftBrkTmp_10m_Std,Generator Shaft brake temperature,�C,Standard Deviation,Double,10 minute tag
WTRM.ShftBrkTnkPres,WTRM.,ShftBrkTnkPres,Hydraulic pressure in accumulation tank for shaft brake,bar,Live Value,Double,Live Value
WTRM.ShftBrkTnkPres_10m_Avg,WTRM.,ShftBrkTnkPres_10m_Avg,Hydraulic pressure in accumulation tank for shaft brake,bar,Average,Double,10 minute tag
WTRM.ShftBrkTnkPres_10m_Max,WTRM.,ShftBrkTnkPres_10m_Max,Hydraulic pressure in accumulation tank for shaft brake,bar,Maximum,Double,10 minute tag
WTRM.ShftBrkTnkPres_10m_Min,WTRM.,ShftBrkTnkPres_10m_Min,Hydraulic pressure in accumulation tank for shaft brake,bar,Minimum,Double,10 minute tag
WTRM.ShftBrkTnkPres_10m_Std,WTRM.,ShftBrkTnkPres_10m_Std,Hydraulic pressure in accumulation tank for shaft brake,bar,Standard Deviation,Double,10 minute tag
WTRM.WtrPmpCnt_10m_End,WTRM.,WtrPmpCnt_10m_End,Number of activations of cooling water pump,Count,Total Counter,Long,10 minute tag
WTRM.WtrPmpTms_10m_End,WTRM.,WtrPmpTms_10m_End,Time cooling water pump has been activated,seconds,Total Counter,Long,10 minute tag
WTUR.AlmTms,WTUR.,AlmTms,Time with an alarm,seconds,Total Counter,Long,Live Value
WTUR.AlmTms_10m_End,WTUR.,AlmTms_10m_End,Time with an alarm,seconds,Total Counter,Long,10 minute tag
WTUR.AlmTms_10m_Sum,WTUR.,AlmTms_10m_Sum,Time with an alarm,seconds,Summation,Long,10 minute tag
WTUR.AlmTms_Dly_Sum,WTUR.,AlmTms_Dly_Sum,Time with an alarm in each Daily period i.e. 0-86400 seconds,seconds,Summation,Long,Daily tag
WTUR.AlmTms_Mly_Sum,WTUR.,AlmTms_Mly_Sum,Time with an alarm in each Monthly period i.e. 0-86400 seconds,seconds,Summation,Long,Monthly tag
WTUR.CapFact,WTUR.,CapFact,Capacity factor,percent,Live Value,Double,Live Value
WTUR.CapFact_Dly_Sum,WTUR.,CapFact_Dly_Sum,Capactity factor in each Daily period,percent,Summation,Double,Daily tag
WTUR.CapFact_Mly_Sum,WTUR.,CapFact_Mly_Sum,Capactity factor in each Monthly period,percent,Summation,Double,Monthly tag
WTUR.CapFact_Yly_Sum,WTUR.,CapFact_Yly_Sum,Capactity factor in each Yearly period,percent,Summation,Double,Yearly tag
WTUR.CommErrTms,WTUR.,CommErrTms,Time during which the remote monitoring system has failed or computed data have been lost,seconds,Total Counter,Long,Live Value
WTUR.CommErrTms_Dly_Sum,WTUR.,CommErrTms_Dly_Sum,Time during which the remote monitoring system has failed or computed data have been lost,seconds,Summation,Long,Daily tag
WTUR.CstmStopTms,WTUR.,CstmStopTms,Downtime due to customer stop,seconds,Total Counter,Long,Live Value
WTUR.CstmStopTms_10m_End,WTUR.,CstmStopTms_10m_End,Downtime due to customer stop,seconds,Total Counter,Long,10 minute tag
WTUR.DateTime,WTUR.,DateTime,Date and timestamp of the turbine controller,DateTime,Live Value,String,Live Value
WTUR.DmdPFSpt,WTUR.,DmdPFSpt,Turbine power factor setpoint,Pf,Setpoint,Double,Live Value
WTUR.DmdPFSpt_10m_Avg,WTUR.,DmdPFSpt_10m_Avg,Turbine power factor setpoint,Pf,Average,Double,10 minute tag
WTUR.DmdVArh,WTUR.,DmdVArh,Reactive energy demand (default demand direction: energy flow from a substation busbar away and towards the wind turbine),VArh,Total Counter,Double,Live Value
WTUR.DmdVArh_10m_End,WTUR.,DmdVArh_10m_End,Reactive energy demand (default demand direction: energy flow from a substation busbar away and towards the wind turbine),VArh,Total Counter,Double,10 minute tag
WTUR.DmdVArh_10m_Sum,WTUR.,DmdVArh_10m_Sum,Reactive energy demand (default demand direction: energy flow from a substation busbar away and towards the wind turbine),VArh,Summation,Double,10 minute tag
WTUR.DmdVArh_Dly_End,WTUR.,DmdVArh_Dly_End,Reactive energy demand (default demand direction: energy flow from a substation busbar away and towards the wind turbine),VArh,Total Counter,Double,Daily tag
WTUR.DmdVArh_Dly_Sum,WTUR.,DmdVArh_Dly_Sum,Reactive energy demand (default demand direction: energy flow from a substation busbar away and towards the wind turbine),VArh,Summation,Double,Daily tag
WTUR.DmdVArh_Mly_Sum,WTUR.,DmdVArh_Mly_Sum,Reactive energy demand (default demand direction: energy flow from a substation busbar away and towards the wind turbine),VArh,Summation,Double,Monthly tag
WTUR.DmdVArh_Yly_Sum,WTUR.,DmdVArh_Yly_Sum,Reactive energy demand (default demand direction: energy flow from a substation busbar away and towards the wind turbine),VArh,Summation,Double,Yearly tag
WTUR.DmdVArSpt,WTUR.,DmdVArSpt,Turbine reactive power generation setpoint,Var,Setpoint,Double,Live Value
WTUR.DmdVArSpt_10m_Avg,WTUR.,DmdVArSpt_10m_Avg,Turbine reactive power generation setpoint,Var,Average,Double,10 minute tag
WTUR.DmdVArSptSrc_10m_Avg,WTUR.,DmdVArSptSrc_10m_Avg,Turbine reactive power generation setpoint source,Var,Average,Double,10 minute tag
WTUR.DmdVSpt,WTUR.,DmdVSpt,Turbine voltage output setpoint,V,Setpoint,Double,Live Value
WTUR.DmdWh,WTUR.,DmdWh,Active (real) energy demand (default demand direction: energy flow from a substation busbar away and towards the wind turbine),Wh,Total Counter,Double,Live Value
WTUR.DmdWh_10m_End,WTUR.,DmdWh_10m_End,Active (real) energy demand (default demand direction: energy flow from a substation busbar away and towards the wind turbine),Wh,Total Counter,Double,10 minute tag
WTUR.DmdWh_10m_Sum,WTUR.,DmdWh_10m_Sum,Active (real) energy demand (default demand direction: energy flow from a substation busbar away and towards the wind turbine),Wh,Summation,Double,10 minute tag
WTUR.DmdWh_Dly_End,WTUR.,DmdWh_Dly_End,Active (real) energy demand (default demand direction: energy flow from a substation busbar away and towards the wind turbine),Wh,Total Counter,Double,10 minute tag
WTUR.DmdWh_Dly_Sum,WTUR.,DmdWh_Dly_Sum,Active (real) energy demand (default demand direction: energy flow from a substation busbar away and towards the wind turbine),Wh,Summation,Double,Daily tag
WTUR.DmdWh_Mly_End,WTUR.,DmdWh_Mly_End,Active (real) energy demand (default demand direction: energy flow from a substation busbar away and towards the wind turbine),Wh,Total Counter,Double,10 minute tag
WTUR.DmdWh_Mly_Sum,WTUR.,DmdWh_Mly_Sum,Active (real) energy demand (default demand direction: energy flow from a substation busbar away and towards the wind turbine),Wh,Summation,Double,Monthly tag
WTUR.DmdWh_Yly_End,WTUR.,DmdWh_Yly_End,Active (real) energy demand (default demand direction: energy flow from a substation busbar away and towards the wind turbine),Wh,Total Counter,Double,10 minute tag
WTUR.DmdWh_Yly_Sum,WTUR.,DmdWh_Yly_Sum,Active (real) energy demand (default demand direction: energy flow from a substation busbar away and towards the wind turbine),Wh,Summation,Double,Yearly tag
WTUR.DmdWSpt,WTUR.,DmdWSpt,Turbine active power generation setpoint,W,Setpoint,Double,Live Value
WTUR.DmdWSpt_10m_Avg,WTUR.,DmdWSpt_10m_Avg,"Turbine active power generation setpoint, 10 min Avg",W,Setpoint,Double,10 minute tag
WTUR.DmdWSpt_10m_End,WTUR.,DmdWSpt_10m_End,"Turbine active power generation setpoint, at end of 10 min period",W,Setpoint,Double,10 minute tag
WTUR.DmdWSpt_10m_Max,WTUR.,DmdWSpt_10m_Max,"Turbine active power generation setpoint, 10 min Max",W,Setpoint,Double,10 minute tag
WTUR.DmdWSpt_10m_Min,WTUR.,DmdWSpt_10m_Min,"Turbine active power generation setpoint, 10 min Min",W,Setpoint,Double,10 minute tag
WTUR.DmdWSpt_10m_Std,WTUR.,DmdWSpt_10m_Std,"Turbine active power generation setpoint, 10 min Std",W,Setpoint,Double,10 minute tag
WTUR.DmdWSptSrc_10m_Avg,WTUR.,DmdWSptSrc_10m_Avg,Turbine active power generation setpoint source,W,Average,Double,10 minute tag
WTUR.DnTms,WTUR.,DnTms,Total downtime,seconds,Total Counter,Long,Live Value
WTUR.DnTms_10m_End,WTUR.,DnTms_10m_End,Total downtime,seconds,Total Counter,Long,10 minute tag
WTUR.DnTms_10m_Sum,WTUR.,DnTms_10m_Sum,Total downtime in each 10 minute period i.e. 0-600 seconds,seconds,Summation,Long,10 minute tag
WTUR.DnTms_Dly_Sum,WTUR.,DnTms_Dly_Sum,Downtime in each Daily period i.e. 0-86400 seconds,seconds,Summation,Long,Daily tag
WTUR.DnTms_Mly_Sum,WTUR.,DnTms_Mly_Sum,Downtime in each Monthly period,seconds,Summation,Long,Monthly tag
WTUR.DnTms_Yly_Sum,WTUR.,DnTms_Yly_Sum,Downtime in each Yearly period,seconds,Summation,Long,Yearly tag
WTUR.EnvDnTms,WTUR.,EnvDnTms,Downtime due to Ambient/Environment factors(e.g. high wind),seconds,Total Counter,Long,Live Value
WTUR.EnvDnTms_10m_End,WTUR.,EnvDnTms_10m_End,Downtime due to Ambient/Environment factors(e.g. high wind),seconds,Total Counter,Long,10 minute tag
WTUR.EnvDnTms_10m_Sum,WTUR.,EnvDnTms_10m_Sum,Downtime due to Ambient/Environment factors(e.g. high wind) in each 10 minute period i.e. 0-600 seconds,seconds,Summation,Long,10 minute tag
WTUR.EnvDnTms_Dly_Sum,WTUR.,EnvDnTms_Dly_Sum,Downtime due to Ambient/Environment factors(e.g. high wind) in each Daily period i.e. 0-86400 seconds,seconds,Summation,Long,Daily tag
WTUR.EnvDnTms_Mly_Sum,WTUR.,EnvDnTms_Mly_Sum,Downtime due to Ambient/Environment factors(e.g. high wind) in each Monthly period,seconds,Summation,Long,Monthly tag
WTUR.EnvDnTms_Yly_Sum,WTUR.,EnvDnTms_Yly_Sum,Downtime due to Ambient/Environment factors(e.g. high wind) in each Yearly period,seconds,Summation,Long,Yearly tag
WTUR.EnvOkTms,WTUR.,EnvOkTms,Environment/Ambient Ok time,seconds,Total Counter,Long,Live Value
WTUR.EnvOkTms_10m_end,WTUR.,EnvOkTms_10m_end,Environment/Ambient Ok time,seconds,Total Counter,Long,10 minute tag
WTUR.EnvOkTms_10m_sum,WTUR.,EnvOkTms_10m_sum,Environment/Ambient Ok time,seconds,Summation,Long,10 minute tag
WTUR.EnvOkTms_Mly_Sum,WTUR.,EnvOkTms_Mly_Sum,Environment/Ambient Ok time,seconds,Summation,Long,Monthly tag
WTUR.ExpWh,WTUR.,ExpWh,Expected (net) active energy production i.e. produced-consumed energy,Wh,Summation,Double,Live Value
WTUR.ExpWh_Dly_Sum,WTUR.,ExpWh_Dly_Sum,Expected (net) active energy production i.e. produced-consumed energy,Wh,Summation,Double,Daily tag
WTUR.ExpWh_Hly_Sum,WTUR.,ExpWh_Hly_Sum,Expected (net) active energy production i.e. produced-consumed energy,Wh,Summation,Double,Live Value
WTUR.ExpWh_Mly_Sum,WTUR.,ExpWh_Mly_Sum,Expected (net) active energy production i.e. produced-consumed energy,Wh,Summation,Double,Monthly tag
WTUR.ExpWh_Yly_Sum,WTUR.,ExpWh_Yly_Sum,Expected (net) active energy production i.e. produced-consumed energy,Wh,Summation,Double,Yearly tag
WTUR.ExStopDnTms,WTUR.,ExStopDnTms,Downtime due external stop,seconds,Total Counter,Long,Live Value
WTUR.ExStopDnTms_10m_End,WTUR.,ExStopDnTms_10m_End,Downtime due external stop,seconds,Total Counter,Long,10 minute tag
WTUR.ExStopDnTms_10m_Sum,WTUR.,ExStopDnTms_10m_Sum,Downtime due external stop in each 10 minute period i.e. 0-600 seconds,seconds,Summation,Long,10 minute tag
WTUR.ExStopDnTms_Dly_Sum,WTUR.,ExStopDnTms_Dly_Sum,Downtime due external stop in each Daily period i.e. 0-86400 seconds,seconds,Summation,Long,Daily tag
WTUR.ExStopDnTms_Mly_Sum,WTUR.,ExStopDnTms_Mly_Sum,Downtime due external stop in each Monthly period,seconds,Summation,Long,Monthly tag
WTUR.ExStopDnTms_Yly_Sum,WTUR.,ExStopDnTms_Yly_Sum,Downtime due external stop in each Yearly period,seconds,Summation,Long,Yearly tag
WTUR.ExtPwrDnTms,WTUR.,ExtPwrDnTms,Downtime due to  external energy/power curtailment,seconds,Total Counter,Long,Live Value
WTUR.ExtPwrDnTms_10m_End,WTUR.,ExtPwrDnTms_10m_End,Downtime due to  external energy/power curtailment,seconds,Total Counter,Long,10 minute tag
WTUR.GriErrDnTms,WTUR.,GriErrDnTms,Downtime due to grid faults,seconds,Total Counter,Long,Live Value
WTUR.GriErrDnTms_10m_End,WTUR.,GriErrDnTms_10m_End,Downtime due to grid faults,seconds,Total Counter,Long,10 minute tag
WTUR.GriErrDnTms_10m_Sum,WTUR.,GriErrDnTms_10m_Sum,Downtime due to grid faults in each 10 minute period i.e. 0-600 seconds,seconds,Summation,Long,10 minute tag
WTUR.GriErrDnTms_Dly_Sum,WTUR.,GriErrDnTms_Dly_Sum,Downtime due to grid faults in each Daily period i.e. 0-86400 seconds,seconds,Summation,Long,Daily tag
WTUR.GriErrDnTms_Mly_Sum,WTUR.,GriErrDnTms_Mly_Sum,Downtime due to grid faults in each Monthly period,seconds,Summation,Long,Monthly tag
WTUR.GriErrDnTms_Yly_Sum,WTUR.,GriErrDnTms_Yly_Sum,Downtime due to grid faults in each  Yearly period,seconds,Summation,Long,Yearly tag
WTUR.GriOfTms,WTUR.,GriOfTms,Time with no grid (missing grid) T3,seconds,Total Counter,Long,Live Value
WTUR.GriOfTms_10m_End,WTUR.,GriOfTms_10m_End,Time with no grid (missing grid) T3,seconds,Total Counter,Long,10 minute tag
WTUR.GriOkTms,WTUR.,GriOkTms,Time grid Ok,seconds,Total Counter,Long,Live Value
WTUR.GriOkTms_10m_End,WTUR.,GriOkTms_10m_End,Time grid Ok,seconds,Total Counter,Long,10 minute tag
WTUR.GriOkTms_10m_Sum,WTUR.,GriOkTms_10m_Sum,Time grid Ok,seconds,Summation,Long,10 minute tag
WTUR.GriOkTms_Dly_Sum,WTUR.,GriOkTms_Dly_Sum,Time grid Ok,seconds,Summation,Long,Daily tag
WTUR.GriOkTms_Mly_Sum,WTUR.,GriOkTms_Mly_Sum,Time grid Ok,seconds,Summation,Long,Monthly tag
WTUR.GriOnCnt_10m_End,WTUR.,GriOnCnt_10m_End,Number of times power on,Count,Total Counter,Long,10 minute tag
WTUR.GriOnTms,WTUR.,GriOnTms,Time turbine (controller) has been connected to grid (Power on time),seconds,Total Counter,Long,Live Value
WTUR.GriOnTms_10m_End,WTUR.,GriOnTms_10m_End,Time turbine (controller) has been connected to grid (Power on time),seconds,Total Counter,Long,10 minute tag
WTUR.GriOnTms_10m_Sum,WTUR.,GriOnTms_10m_Sum,Time turbine (controller) has been connected to grid (Power on time),seconds,Summation,Long,10 minute tag
WTUR.GriOnTms_Mly_Sum,WTUR.,GriOnTms_Mly_Sum,Time turbine (controller) has been connected to grid (Power on time),seconds,Summation,Long,Monthly tag
WTUR.Id,WTUR.,Id,Turbine node id,Enum,Live Value,Long,Live Value
WTUR.IntnW,WTUR.,IntnW,Internal power,W,Live Value,Double,Live Value
WTUR.IntnW_10m_Avg,WTUR.,IntnW_10m_Avg,Internal power,W,Average,Double,10 minute tag
WTUR.IntnW_10m_Max,WTUR.,IntnW_10m_Max,Internal power,W,Maximum,Double,10 minute tag
WTUR.IntnW_10m_Min,WTUR.,IntnW_10m_Min,Internal power,W,Minimum,Double,10 minute tag
WTUR.IntnW_10m_Std,WTUR.,IntnW_10m_Std,Internal power,W,Standard Deviation,Double,10 minute tag
WTUR.LsWh_Dly_Sum,WTUR.,LsWh_Dly_Sum,Lost active energy in each Daily period,Wh,Summation,Double,Daily tag
WTUR.NoAlmTms,WTUR.,NoAlmTms,Time with no active alarms,seconds,Total Counter,Long,Live Value
WTUR.OpTms,WTUR.,OpTms,Time turbine in Operation,seconds,Summation,Long,Daily tag
WTUR.OpTms,WTUR.,OpTms,Time turbine in Operation,seconds,,Long,
WTUR.OpTms_10m_End,WTUR.,OpTms_10m_End,Time turbine in Operation,seconds,Total Counter,Long,10 minute tag
WTUR.OpTms_10m_Sum,WTUR.,OpTms_10m_Sum,Time turbine in Operation,seconds,Summation,Long,10 minute tag
WTUR.OpTms_Dly_Sum,WTUR.,OpTms_Dly_Sum,Time turbine in Operation,seconds,Summation,Long,Daily tag
WTUR.OpTms_Mly_Sum,WTUR.,OpTms_Mly_Sum,Time turbine in Operation,seconds,Summation,Long,Monthly tag
WTUR.PsblVarCap,WTUR.,PsblVarCap,Possible capacity reactive power,VAr,Live Value,Double,Live Value
WTUR.PsblVarCap_10m_Avg,WTUR.,PsblVarCap_10m_Avg,Possible capacity reactive power,VAr,Average,Double,10 minute tag
WTUR.PsblVarCap_10m_Max,WTUR.,PsblVarCap_10m_Max,Possible capacity reactive power,VAr,Maximum,Double,10 minute tag
WTUR.PsblVarCap_10m_Min,WTUR.,PsblVarCap_10m_Min,Possible capacity reactive power,VAr,Minimum,Double,10 minute tag
WTUR.PsblVarCap_10m_Std,WTUR.,PsblVarCap_10m_Std,Possible capacity reactive power,VAr,Standard Deviation,Double,10 minute tag
WTUR.PsblVarInd,WTUR.,PsblVarInd,Possible inductive reactive power,VAr,Live Value,Double,Live Value
WTUR.PsblVarInd_10m_Avg,WTUR.,PsblVarInd_10m_Avg,Possible inductive reactive power,VAr,Average,Double,10 minute tag
WTUR.PsblVarInd_10m_Max,WTUR.,PsblVarInd_10m_Max,Possible inductive reactive power,VAr,Maximum,Double,10 minute tag
WTUR.PsblVarInd_10m_Min,WTUR.,PsblVarInd_10m_Min,Possible inductive reactive power,VAr,Minimum,Double,10 minute tag
WTUR.PsblVarInd_10m_Std,WTUR.,PsblVarInd_10m_Std,Possible inductive reactive power,VAr,Standard Deviation,Double,10 minute tag
WTUR.PsblW,WTUR.,PsblW,Possibly active power at grid connection,W,Live Value,Double,Live Value
WTUR.PsblW_10m_Avg,WTUR.,PsblW_10m_Avg,Possibly active power at grid connection,W,Average,Double,10 minute tag
WTUR.PsblW_10m_Max,WTUR.,PsblW_10m_Max,Possibly active power at grid connection,W,Maximum,Double,10 minute tag
WTUR.PsblW_10m_Min,WTUR.,PsblW_10m_Min,Possibly active power at grid connection,W,Minimum,Double,10 minute tag
WTUR.PsblW_10m_Std,WTUR.,PsblW_10m_Std,Possibly active power at grid connection,W,Standard Deviation,Double,10 minute tag
